iter	RMSE
0	11299.0042
1	10872.67102
2	10495.82745
3	10116.97512
4	9795.418645
5	9481.718278
6	9164.589095
7	8901.617619
8	8618.416426
9	8368.569441
10	8123.311058
11	7912.176334
12	7703.781317
13	7527.222345
14	7337.897429
15	7149.55101
16	6973.765098
17	6813.909185
18	6664.70447
19	6522.935472
20	6388.143174
21	6254.111951
22	6123.462245
23	6007.538861
24	5896.951938
25	5794.585257
26	5700.10605
27	5611.795851
28	5529.922162
29	5443.305759
30	5374.603859
31	5306.67825
32	5246.267756
33	5186.420912
34	5128.61996
35	5076.713886
36	5027.361478
37	4980.400078
38	4933.720461
39	4896.420549
40	4857.607796
41	4818.369008
42	4788.383634
43	4759.178196
44	4731.486105
45	4704.518639
46	4685.609041
47	4659.528317
48	4633.428621
49	4609.996896
50	4586.712515
51	4566.217588
52	4545.85347
53	4530.485583
54	4513.877901
55	4495.655143
56	4479.821855
57	4465.479055
58	4453.518844
59	4443.035818
60	4427.53422
61	4416.71032
62	4406.548684
63	4395.848943
64	4380.533115
65	4367.809034
66	4355.641875
67	4347.322697
68	4334.830647
69	4327.363313
70	4317.829218
71	4310.959628
72	4304.320926
73	4294.906958
74	4288.466744
75	4280.420699
76	4278.939891
77	4270.44623
78	4265.702755
79	4258.723907
80	4251.701482
81	4248.5266
82	4242.401801
83	4238.058435
84	4232.928847
85	4228.814495
86	4223.815729
87	4219.715488
88	4213.470814
89	4209.745663
90	4205.375665
91	4198.852498
92	4194.777844
93	4191.796483
94	4186.942137
95	4185.98538
96	4181.413003
97	4176.969466
98	4173.919752
99	4169.122002
