iter	Passed	Remaining
0	2	248
1	3	191
2	5	193
3	8	193
4	10	194
5	12	195
6	14	193
7	16	192
8	18	190
9	20	181
10	22	180
11	24	179
12	26	178
13	28	176
14	30	172
15	32	170
16	34	168
17	36	167
18	38	165
19	39	158
20	41	157
21	44	156
22	46	154
23	48	153
24	50	151
25	52	149
26	54	148
27	56	146
28	58	144
29	60	141
30	62	139
31	64	138
32	67	136
33	69	134
34	71	132
35	73	130
36	75	128
37	77	127
38	80	125
39	82	123
40	84	121
41	86	119
42	88	117
43	90	115
44	92	113
45	95	111
46	96	108
47	98	106
48	100	104
49	102	102
50	105	101
51	107	99
52	109	97
53	110	94
54	113	92
55	115	90
56	117	88
57	120	86
58	121	84
59	124	83
60	127	81
61	129	79
62	132	77
63	134	75
64	136	73
65	139	71
66	141	69
67	143	67
68	145	65
69	147	63
70	150	61
71	152	59
72	154	57
73	156	55
74	158	52
75	161	50
76	162	48
77	164	46
78	166	44
79	168	42
80	170	40
81	172	37
82	174	35
83	176	33
84	178	31
85	181	29
86	183	27
87	185	25
88	187	23
89	189	21
90	191	18
91	194	16
92	196	14
93	198	12
94	200	10
95	202	8
96	204	6
97	206	4
98	208	2
99	210	0
