iter	RMSE
0	11324.92537
1	10998.91703
2	10689.64168
3	10361.85368
4	10056.89345
5	9782.695165
6	9509.034369
7	9256.060284
8	9006.41265
9	8776.957795
10	8552.539116
11	8356.471985
12	8162.992264
13	7963.778927
14	7783.825824
15	7616.989003
16	7446.765525
17	7281.549905
18	7127.59802
19	6973.827098
20	6838.622718
21	6700.261526
22	6576.525663
23	6457.839319
24	6340.300121
25	6234.22985
26	6151.526928
27	6060.715868
28	5962.994173
29	5876.95314
30	5789.102045
31	5711.157623
32	5636.365627
33	5560.703064
34	5493.046513
35	5422.897604
36	5380.674113
37	5322.812915
38	5266.170366
39	5214.677032
40	5167.672368
41	5124.562751
42	5079.050478
43	5037.605144
44	5004.17974
45	4966.231963
46	4931.369648
47	4897.551944
48	4865.676457
49	4835.771557
50	4809.249572
51	4783.08418
52	4758.404729
53	4727.900697
54	4703.445652
55	4678.715503
56	4656.254866
57	4633.549343
58	4614.906714
59	4593.654428
60	4577.51977
61	4557.842033
62	4538.334886
63	4521.944183
64	4506.61296
65	4494.752621
66	4482.780202
67	4470.097621
68	4457.539631
69	4447.104902
70	4437.472977
71	4427.023076
72	4416.392412
73	4406.01903
74	4397.048611
75	4388.236077
76	4378.749661
77	4370.239987
78	4361.392497
79	4353.882042
80	4345.226096
81	4341.40682
82	4335.133893
83	4329.277257
84	4319.029048
85	4314.50202
86	4308.168386
87	4301.393436
88	4294.427513
89	4288.901845
90	4284.989433
91	4279.270914
92	4271.933356
93	4264.523068
94	4261.028867
95	4256.090503
96	4252.05885
97	4249.611008
98	4244.308371
99	4239.462995
100	4234.861622
101	4229.461077
102	4224.654741
103	4221.604701
104	4218.671446
105	4214.252266
106	4209.882989
107	4205.936361
108	4204.216932
109	4198.88711
110	4195.086429
111	4192.246982
112	4190.97057
113	4185.231217
114	4183.506077
115	4179.377121
116	4177.06165
117	4173.225008
118	4169.957524
119	4167.173465
120	4163.718862
121	4158.592217
122	4154.708221
123	4153.222461
124	4150.690531
125	4147.445087
126	4144.887237
127	4142.696827
128	4141.263066
129	4137.470406
130	4133.715309
131	4130.864048
132	4127.423194
133	4126.645852
134	4125.12842
135	4123.441157
136	4119.479058
137	4117.919067
138	4116.629035
139	4114.208009
140	4112.538393
141	4109.055063
142	4105.809804
143	4103.991331
144	4100.93957
145	4098.175293
146	4094.738138
147	4092.234612
148	4087.490155
149	4086.439504
150	4083.233416
151	4079.702381
152	4076.736596
153	4072.005716
154	4069.242043
155	4063.126049
156	4063.057355
157	4061.319194
158	4056.200644
159	4055.016168
160	4051.663839
161	4047.682575
162	4044.354501
163	4040.939722
164	4039.068166
165	4035.512182
166	4032.447712
167	4026.419507
168	4024.810194
169	4021.362276
170	4017.50913
171	4016.241478
172	4014.381492
173	4010.538315
174	4006.393842
175	4005.197729
176	4003.492416
177	4001.98142
178	3999.458834
179	3996.672646
180	3994.546615
181	3992.479143
182	3988.70022
183	3982.73335
184	3979.239588
185	3974.357619
186	3970.776581
187	3968.168107
188	3966.786221
189	3964.89476
190	3962.50517
191	3961.058999
192	3955.317359
193	3947.177645
194	3945.061136
195	3943.867013
196	3941.595847
197	3938.01645
198	3936.193176
199	3933.460623
200	3929.259966
201	3926.494303
202	3925.922997
203	3923.05799
204	3920.269316
205	3917.163708
206	3915.038162
207	3914.127652
208	3911.333966
209	3908.069592
210	3903.605543
211	3902.361607
212	3899.007181
213	3897.358519
214	3894.938415
215	3890.389972
216	3887.587112
217	3884.807115
218	3883.238454
219	3882.199664
220	3881.376421
221	3876.847013
222	3873.670948
223	3872.503002
224	3871.452993
225	3868.053736
226	3865.36094
227	3860.681058
228	3856.044798
229	3853.0453
230	3851.470564
231	3849.37194
232	3846.747767
233	3844.506088
234	3842.227107
235	3840.846945
236	3839.17598
237	3837.3347
238	3835.863552
239	3833.607686
240	3830.418924
241	3826.051034
242	3825.45418
243	3823.250407
244	3819.164195
245	3817.698339
246	3815.731036
247	3810.981898
248	3807.761194
249	3806.161114
250	3804.057541
251	3802.144162
252	3800.185896
253	3799.538839
254	3798.063801
255	3795.34666
256	3794.094332
257	3792.595355
258	3790.041565
259	3787.90751
260	3786.487683
261	3785.506311
262	3783.66324
263	3781.626385
264	3780.920795
265	3780.249513
266	3778.919953
267	3776.143356
268	3775.869836
269	3773.947962
270	3773.227281
271	3770.794423
272	3767.115538
273	3762.205004
274	3759.511099
275	3754.871958
276	3751.160208
277	3747.837339
278	3745.003503
279	3743.824272
280	3742.87988
281	3742.466548
282	3740.275616
283	3737.049288
284	3735.913319
285	3734.884691
286	3732.55084
287	3731.656373
288	3730.22964
289	3726.288628
290	3724.930973
291	3723.419209
292	3722.366867
293	3720.01751
294	3718.424548
295	3715.265497
296	3714.394149
297	3712.800534
298	3711.322628
299	3707.010957
300	3702.856839
301	3699.497018
302	3698.41689
303	3695.869638
304	3691.943644
305	3690.424511
306	3689.453379
307	3687.988188
308	3686.928003
309	3686.664816
310	3684.028995
311	3681.416622
312	3679.992763
313	3677.767325
314	3676.766677
315	3674.090439
316	3673.111283
317	3672.218175
318	3669.775229
319	3667.632347
320	3666.580609
321	3665.249945
322	3664.321248
323	3661.794161
324	3657.175043
325	3655.220125
326	3651.628639
327	3650.290781
328	3648.985705
329	3646.704545
330	3646.403681
331	3645.078206
332	3643.640831
333	3640.603339
334	3636.449101
335	3634.370563
336	3630.51194
337	3626.135444
338	3623.825016
339	3622.562178
340	3620.041312
341	3617.208508
342	3614.805397
343	3613.556229
344	3612.617437
345	3608.8346
346	3606.841536
347	3605.122073
348	3602.827541
349	3601.580974
350	3601.308025
351	3601.13567
352	3599.937852
353	3596.150608
354	3594.960033
355	3591.936564
356	3591.809022
357	3588.693474
358	3586.654904
359	3586.532585
360	3583.628659
361	3580.906593
362	3579.275467
363	3577.359322
364	3575.090948
365	3573.902566
366	3572.341499
367	3570.597338
368	3569.80675
369	3568.670073
370	3567.368176
371	3564.797205
372	3561.841205
373	3557.552771
374	3556.763859
375	3555.110072
376	3554.418783
377	3551.870075
378	3548.88953
379	3548.159892
380	3547.035996
381	3544.963432
382	3542.537897
383	3541.377924
384	3539.387719
385	3536.569428
386	3534.244415
387	3533.508818
388	3532.729054
389	3532.017957
390	3529.07035
391	3525.688034
392	3522.977345
393	3521.798015
394	3519.189007
395	3516.668938
396	3514.114292
397	3511.605793
398	3509.201209
399	3507.314003
400	3507.194676
401	3506.05325
402	3505.499402
403	3503.007123
404	3502.795389
405	3501.048502
406	3499.781115
407	3497.754201
408	3496.828304
409	3495.192559
410	3492.341853
411	3489.571277
412	3486.228382
413	3485.125524
414	3483.037541
415	3482.231165
416	3478.856274
417	3475.96757
418	3473.915397
419	3472.559085
420	3472.361045
421	3470.299417
422	3466.454715
423	3464.680283
424	3462.774396
425	3459.877945
426	3457.639745
427	3456.473257
428	3454.747583
429	3453.217308
430	3452.149933
431	3450.261512
432	3449.608096
433	3449.469697
434	3448.614647
435	3446.338922
436	3442.56254
437	3441.918565
438	3439.712299
439	3438.43285
440	3437.813674
441	3436.098068
442	3432.675588
443	3431.342332
444	3430.312581
445	3429.568979
446	3426.879136
447	3422.564393
448	3420.254202
449	3419.71135
450	3418.69626
451	3415.112199
452	3414.38664
453	3411.852348
454	3409.741101
455	3408.748011
456	3407.951399
457	3406.556211
458	3405.504761
459	3404.48396
460	3403.789312
461	3402.771207
462	3402.588984
463	3401.378418
464	3400.383447
465	3398.901074
466	3396.298659
467	3393.213605
468	3391.197665
469	3390.382607
470	3389.223755
471	3387.870342
472	3386.372427
473	3385.190294
474	3382.193502
475	3379.511121
476	3379.338079
477	3378.503013
478	3377.405256
479	3375.748254
480	3373.548195
481	3371.146749
482	3370.263288
483	3368.321143
484	3366.703306
485	3365.489958
486	3365.126751
487	3362.973719
488	3361.296889
489	3359.551795
490	3357.757757
491	3357.156077
492	3356.292876
493	3354.845413
494	3354.003507
495	3351.549952
496	3349.420128
497	3347.111112
498	3346.456627
499	3345.821191
500	3344.959133
501	3343.053964
502	3341.620574
503	3340.943975
504	3339.310837
505	3337.762194
506	3337.398273
507	3336.01706
508	3334.710803
509	3333.433583
510	3331.237966
511	3329.699774
512	3327.479975
513	3325.522904
514	3321.71808
515	3320.20743
516	3319.007252
517	3315.816837
518	3312.095168
519	3310.776296
520	3309.344131
521	3308.929519
522	3307.526782
523	3306.190407
524	3305.049829
525	3301.715512
526	3301.10883
527	3299.595241
528	3298.317388
529	3297.922278
530	3296.228784
531	3294.549701
532	3293.283506
533	3291.928745
534	3289.687459
535	3289.024632
536	3288.525776
537	3285.757084
538	3281.966038
539	3280.831745
