iter	Passed	Remaining
0	140	140464
1	142	71074
2	144	48128
3	147	36674
4	149	29789
5	152	25225
6	154	21985
7	156	19382
8	158	17498
9	161	15984
10	163	14730
11	166	13693
12	169	12857
13	171	12105
14	174	11453
15	176	10869
16	179	10353
17	181	9916
18	184	9531
19	186	9127
20	189	8818
21	191	8528
22	194	8261
23	197	8026
24	200	7807
25	202	7574
26	205	7389
27	207	7200
28	209	7027
29	212	6881
30	215	6745
31	217	6577
32	220	6451
33	222	6324
34	225	6206
35	227	6096
36	228	5953
37	231	5862
38	234	5777
39	237	5688
40	239	5608
41	242	5524
42	245	5454
43	247	5383
44	249	5289
45	251	5216
46	254	5151
47	256	5085
48	259	5031
49	262	4979
50	264	4928
51	267	4874
52	269	4822
53	272	4777
54	275	4737
55	278	4694
56	281	4652
57	284	4613
58	286	4566
59	288	4527
60	291	4493
61	294	4457
62	297	4421
63	299	4382
64	302	4345
65	304	4314
66	307	4283
67	310	4254
68	312	4221
69	315	4187
70	317	4155
71	320	4130
72	322	4100
73	325	4073
74	328	4050
75	331	4027
76	334	4004
77	336	3978
78	338	3951
79	341	3924
80	343	3897
81	344	3861
82	347	3837
83	349	3816
84	352	3796
85	355	3774
86	357	3751
87	359	3730
88	362	3708
89	364	3690
90	367	3673
91	370	3656
92	373	3638
93	375	3621
94	378	3602
95	381	3588
96	383	3571
97	385	3547
98	387	3529
99	390	3510
100	392	3493
101	394	3476
102	397	3463
103	400	3446
104	402	3429
105	404	3413
106	406	3396
107	409	3380
108	410	3359
109	413	3348
110	416	3337
111	419	3323
112	420	3301
113	423	3287
114	424	3269
115	427	3259
116	429	3245
117	432	3231
118	434	3218
119	437	3205
120	439	3192
121	442	3183
122	444	3170
123	446	3153
124	448	3141
125	451	3128
126	453	3117
127	455	3106
128	458	3098
129	461	3087
130	463	3076
131	466	3065
132	468	3053
133	469	3036
134	472	3029
135	475	3018
136	477	3007
137	479	2996
138	482	2986
139	484	2975
140	486	2966
141	489	2957
142	491	2947
143	494	2937
144	496	2927
145	498	2917
146	501	2907
147	503	2901
148	506	2893
149	509	2885
150	511	2876
151	514	2867
152	516	2859
153	519	2853
154	521	2845
155	524	2836
156	525	2820
157	527	2811
158	529	2803
159	532	2795
160	535	2788
161	537	2779
162	539	2771
163	542	2764
164	544	2756
165	547	2748
166	549	2741
167	551	2733
168	554	2724
169	556	2717
170	558	2709
171	561	2701
172	563	2695
173	566	2688
174	568	2681
175	571	2674
176	573	2666
177	575	2659
178	578	2652
179	580	2646
180	583	2639
181	585	2632
182	588	2625
183	590	2618
184	592	2610
185	595	2605
186	597	2598
187	600	2591
188	602	2584
189	604	2577
190	606	2570
191	609	2565
192	612	2560
193	615	2555
194	617	2548
195	619	2541
196	621	2534
197	624	2529
198	627	2524
199	629	2518
200	632	2512
201	634	2506
202	636	2497
203	638	2491
204	641	2486
205	643	2480
206	645	2473
207	648	2467
208	650	2461
209	652	2455
210	655	2450
211	658	2445
212	660	2440
213	662	2435
214	665	2429
215	667	2423
216	670	2418
217	672	2413
218	675	2407
219	677	2401
220	679	2396
221	682	2390
222	684	2385
223	687	2380
224	690	2376
225	692	2372
226	695	2367
227	697	2363
228	700	2358
229	703	2355
230	706	2351
231	709	2347
232	711	2341
233	713	2335
234	715	2330
235	718	2326
236	720	2320
237	722	2314
238	725	2309
239	727	2304
240	729	2298
241	732	2294
242	734	2288
243	736	2282
244	739	2277
245	741	2272
246	743	2267
247	746	2263
248	748	2258
249	751	2253
250	753	2248
251	755	2243
252	758	2238
253	760	2233
254	763	2229
255	765	2224
256	767	2219
257	770	2214
258	772	2210
259	775	2205
260	777	2201
261	780	2197
262	782	2192
263	784	2187
264	787	2182
265	789	2178
266	791	2173
267	794	2170
268	797	2166
269	799	2162
270	802	2158
271	804	2154
272	807	2150
273	810	2147
274	812	2142
275	815	2139
276	818	2135
277	820	2130
278	822	2126
279	825	2121
280	827	2116
281	829	2110
282	831	2107
283	834	2103
284	836	2098
285	838	2094
286	841	2089
287	843	2085
288	846	2081
289	848	2077
290	850	2073
291	853	2068
292	855	2064
293	857	2060
294	860	2056
295	863	2052
296	865	2048
297	867	2044
298	870	2040
299	872	2036
300	875	2032
301	877	2028
302	879	2024
303	882	2019
304	884	2015
305	886	2011
306	888	2006
307	891	2003
308	894	1999
309	896	1996
310	899	1992
311	901	1988
312	904	1984
313	907	1981
314	909	1978
315	912	1974
316	914	1971
317	917	1968
318	920	1965
319	923	1962
320	926	1958
321	928	1954
322	930	1951
323	933	1947
324	936	1944
325	938	1940
326	941	1936
327	943	1932
328	945	1928
329	948	1924
330	950	1920
331	953	1917
332	955	1914
333	958	1911
334	960	1907
335	963	1903
336	965	1899
337	968	1896
338	970	1892
339	972	1888
340	975	1884
341	977	1880
342	980	1877
343	983	1874
344	985	1871
345	988	1868
346	990	1864
347	993	1860
348	995	1857
349	998	1854
350	1000	1850
351	1003	1846
352	1005	1842
353	1007	1838
354	1010	1835
355	1012	1832
356	1014	1827
357	1016	1823
358	1019	1819
359	1020	1814
360	1022	1810
361	1025	1806
362	1027	1802
363	1030	1799
364	1032	1796
365	1034	1792
366	1036	1788
367	1039	1785
368	1042	1782
369	1045	1779
370	1047	1776
371	1050	1773
372	1052	1769
373	1055	1766
374	1057	1762
375	1060	1760
376	1062	1756
377	1065	1752
378	1067	1749
379	1069	1745
380	1072	1741
381	1074	1739
382	1077	1735
383	1079	1731
384	1081	1727
385	1084	1724
386	1086	1720
387	1088	1717
388	1091	1714
389	1093	1710
390	1096	1707
391	1098	1704
392	1101	1700
393	1103	1696
394	1106	1694
395	1108	1690
396	1110	1687
397	1113	1683
398	1115	1680
399	1117	1676
400	1120	1673
401	1123	1670
402	1125	1667
403	1127	1663
404	1130	1660
405	1132	1656
406	1135	1654
407	1137	1651
408	1140	1647
409	1142	1644
410	1145	1640
411	1147	1637
412	1150	1634
413	1152	1631
414	1154	1628
415	1157	1624
416	1159	1621
417	1161	1617
418	1164	1614
419	1167	1611
420	1169	1608
421	1172	1605
422	1174	1602
423	1176	1598
424	1179	1595
425	1182	1592
426	1184	1589
427	1187	1586
428	1189	1583
429	1192	1580
430	1194	1576
431	1197	1574
432	1199	1570
433	1201	1567
434	1204	1564
435	1206	1560
436	1208	1557
437	1211	1554
438	1214	1551
439	1216	1548
440	1218	1544
441	1221	1541
442	1223	1538
443	1226	1535
444	1229	1532
445	1231	1530
446	1234	1527
447	1236	1523
448	1239	1520
449	1241	1517
450	1244	1515
451	1247	1511
452	1249	1508
453	1251	1505
454	1254	1502
