iter	Passed	Remaining
0	138	138384
1	140	70242
2	143	47764
3	146	36408
4	148	29637
5	151	25125
6	154	21876
7	155	19321
8	158	17418
9	160	15895
10	163	14657
11	165	13653
12	168	12793
13	171	12069
14	173	11425
15	176	10856
16	179	10364
17	181	9923
18	184	9533
19	186	9135
20	188	8806
21	191	8510
22	194	8242
23	196	7996
24	199	7775
25	201	7554
26	204	7351
27	206	7165
28	208	6990
29	211	6826
30	213	6674
31	215	6512
32	217	6385
33	220	6264
34	223	6149
35	225	6038
36	226	5890
37	228	5791
38	231	5706
39	233	5613
40	236	5529
41	238	5445
42	241	5365
43	243	5290
44	245	5210
45	248	5146
46	250	5085
47	253	5021
48	255	4959
49	257	4900
50	260	4851
51	263	4800
52	265	4746
53	267	4694
54	270	4645
55	272	4596
56	275	4553
57	277	4512
58	280	4468
59	282	4426
60	284	4386
61	287	4347
62	289	4311
63	292	4280
64	295	4245
65	297	4208
66	299	4173
67	302	4139
68	304	4108
69	307	4084
70	309	4054
71	312	4025
72	314	3995
73	316	3966
74	319	3938
75	322	3920
76	324	3892
77	326	3864
78	329	3838
79	331	3813
80	333	3788
81	335	3758
82	338	3738
83	340	3717
84	343	3694
85	345	3672
86	347	3651
87	350	3630
88	353	3614
89	355	3594
90	357	3574
91	360	3555
92	362	3536
93	365	3519
94	368	3506
95	370	3488
96	372	3470
97	374	3447
98	376	3430
99	379	3413
100	382	3402
101	384	3387
102	387	3371
103	389	3355
104	391	3340
105	394	3327
106	397	3317
107	400	3308
108	402	3288
109	405	3277
110	407	3266
111	410	3254
112	412	3235
113	414	3224
114	416	3207
115	419	3193
116	421	3180
117	423	3167
118	426	3156
119	429	3146
120	431	3136
121	434	3125
122	436	3114
123	438	3098
124	441	3091
125	444	3082
126	446	3070
127	448	3057
128	451	3046
129	453	3035
130	456	3025
131	458	3017
132	461	3005
133	462	2988
134	464	2978
135	467	2968
136	469	2957
137	472	2949
138	474	2940
139	476	2930
140	479	2920
141	481	2911
142	484	2901
143	486	2893
144	489	2885
145	491	2876
146	494	2868
147	496	2859
148	499	2850
149	501	2842
150	504	2834
151	506	2826
152	509	2817
153	511	2809
154	513	2800
155	516	2792
156	517	2776
157	519	2769
158	522	2762
159	524	2754
160	527	2746
161	529	2738
162	531	2731
163	534	2724
164	537	2719
165	539	2712
166	542	2704
167	544	2696
168	546	2689
169	549	2684
170	552	2677
171	554	2670
172	557	2662
173	559	2655
174	561	2649
175	564	2643
176	566	2635
177	569	2628
178	571	2621
179	573	2614
180	576	2607
181	579	2603
182	582	2598
183	584	2592
184	586	2585
185	589	2578
186	591	2572
187	594	2567
188	596	2561
189	599	2554
190	601	2548
191	604	2542
192	606	2535
193	609	2531
194	611	2525
195	614	2518
196	616	2512
197	618	2506
198	621	2499
199	623	2494
200	626	2489
201	628	2483
202	630	2476
203	633	2471
204	635	2465
205	638	2459
206	640	2454
207	643	2448
208	645	2443
209	647	2436
210	650	2431
211	652	2425
212	655	2421
213	657	2415
214	660	2410
215	662	2405
216	664	2399
217	667	2393
218	670	2389
219	672	2384
220	674	2378
221	677	2372
222	679	2367
223	682	2362
224	684	2358
225	687	2354
226	689	2348
227	692	2343
228	694	2338
229	696	2332
230	699	2328
231	702	2323
232	704	2318
233	706	2313
234	708	2307
235	711	2302
236	713	2297
237	716	2293
238	718	2288
239	721	2283
240	723	2278
241	725	2272
242	727	2265
243	730	2262
244	732	2257
245	734	2252
246	737	2247
247	739	2243
248	742	2238
249	744	2233
250	747	2230
251	749	2225
252	752	2221
253	754	2216
254	756	2211
255	759	2206
256	762	2203
